"variable","mean","sd","min","max"
"ADF_within_0.5km",0.0221666666666665,0.147237626674283,0,1
"ADF_within_1km",0.0943333333333326,0.292316261986457,0,1
"ADF_within_2km",0.306,0.460868093818582,0,1
"CCL",0.0738333333333336,0.261521263222343,0,1
"DTL",0.127666666666667,0.333746091059919,0,1
"Dist_CBD",12.0432851479833,4.30796834721424,0.5863694,20.12762
"Dist_nearest_ADF",2.84954512693333,1.41418650517446,0.1504221,7.382776
"Dist_nearest_A_hospital",2.66307322328333,1.67766690094852,0.09014672,8.000846
"Dist_nearest_CC",0.534829138478,0.292836844881548,0.001310246,3.800968
"Dist_nearest_GAI_jc",5.08262238776667,2.69656216255363,0.1983197,14.02296
"Dist_nearest_GAI_primary_school",1.66164600570333,1.44670977396145,0.05411653,7.51362
"Dist_nearest_GAI_secondary_school",1.70277783943333,1.587363168096,0.06810178,9.469171
"Dist_nearest_GHawker",2.05173797855333,1.78626974723527,0.01469792,6.140184
"Dist_nearest_G_jc",3.00562205198333,1.57651635127187,0.0934132,6.982623
"Dist_nearest_G_primary_school",0.503632407513333,0.355212320397287,0.05035317,3.224784
"Dist_nearest_G_secondary_school",0.619151319986667,0.38657978476307,0.03756883,3.554362
"Dist_nearest_beach",4.92380840013333,2.59435556014204,0.3152875,11.95448
"Dist_nearest_hospital",2.25693860526667,1.42214331612157,0.09014672,7.730587
"Dist_nearest_jc",2.34767821358333,1.39233320986041,0.0934132,5.755003
"Dist_nearest_mall",0.660480681518333,0.361871208013112,0.03985892,3.088381
"Dist_nearest_polytechnic",4.34258138701667,2.00933186571177,0.2134451,9.74955
"Dist_nearest_primary_school",0.403124331566667,0.241243619171805,0.05035317,3.224784
"Dist_nearest_secondary_school",0.524956085803333,0.300016653470092,0.03756883,3.554362
"Dist_nearest_station",0.606563039871667,0.390791019812253,0.02242794,3.505074
"Dist_nearest_university",6.59164014295,3.57148451457026,0.1212203,14.89986
"Dist_nearest_waterbody",3.29049244926667,1.31653237646326,0.4965152,7.42697
"EWL",0.272,0.445026974652144,0,1
"LRT",0.2765,0.447304255344701,0,1
"NEL",0.100333333333333,0.30046897092594,0,1
"NSL",0.248166666666667,0.431985039171401,0,1
"Nearest_A_hospital_ownership_Non.profit",0.0905,0.286920669486228,0,1
"Nearest_A_hospital_ownership_Private",0.0848333333333333,0.278656743118889,0,1
"Nearest_A_hospital_ownership_Public",0.824666666666667,0.380283654875203,0,1
"Nearest_GAI_primary_school_gender_BOYS..SCHOOL",0.0699999999999998,0.255168281352992,0,1
"Nearest_GAI_primary_school_gender_CO.ED.SCHOOL",0.747666666666667,0.434387696649815,0,1
"Nearest_GAI_primary_school_gender_GIRLS..SCHOOL",0.182333333333333,0.386151189318884,0,1
"Nearest_GAI_secondary_school_gender_BOYS..SCHOOL",0.1015,0.302014821091102,0,1
"Nearest_GAI_secondary_school_gender_CO.ED.SCHOOL",0.652833333333333,0.476108970909937,0,1
"Nearest_GAI_secondary_school_gender_GIRLS..SCHOOL",0.245666666666667,0.430517649421364,0,1
"Nearest_G_primary_school_gender_CO.ED.SCHOOL",0.994166666666667,0.0761595185620365,0,1
"Nearest_G_primary_school_gender_GIRLS..SCHOOL",0.00583333333333331,0.0761595185620365,0,1
"Nearest_G_secondary_school_gender_BOYS..SCHOOL",0.004,0.0631241959210944,0,1
"Nearest_G_secondary_school_gender_CO.ED.SCHOOL",0.987666666666667,0.110377772963352,0,1
"Nearest_G_secondary_school_gender_GIRLS..SCHOOL",0.00833333333333328,0.0909135107302184,0,1
"Nearest_hospital_ownership_Non.profit",0.357833333333333,0.479402694380697,0,1
"Nearest_hospital_ownership_Private",0.0806666666666669,0.272345217585708,0,1
"Nearest_hospital_ownership_Public",0.5615,0.496244690784903,0,1
"Nearest_primary_school_gender_BOYS..SCHOOL",0.0206666666666665,0.142277648902125,0,1
"Nearest_primary_school_gender_CO.ED.SCHOOL",0.945,0.227999263033873,0,1
"Nearest_primary_school_gender_GIRLS..SCHOOL",0.0343333333333333,0.182099100041505,0,1
"Nearest_secondary_school_gender_BOYS..SCHOOL",0.0253333333333334,0.157148565061235,0,1
"Nearest_secondary_school_gender_CO.ED.SCHOOL",0.910833333333333,0.285007913002374,0,1
"Nearest_secondary_school_gender_GIRLS..SCHOOL",0.0638333333333335,0.24447617536742,0,1
"Remaining_lease",75.1955,14.3272988265507,45,97
"TEL",0.0248333333333332,0.15562993178745,0,1
"X1room_rental",0.0743333333333336,2.43422721465731,0,110
"X1room_sold",0.127500000000002,5.7010227760861,0,255
"X2room_rental",0.213166666666667,4.81808353605297,0,260
"X2room_sold",2.31366666666666,13.0269424691252,0,225
"X3room_rental",0.0586666666666662,0.594376790863489,0,24
"X3room_sold",32.7400000000001,61.0188218183771,0,528
"X4room_sold",55.1405,48.8400721934217,0,316
"X5room_sold",29.4226666666667,34.2018320236573,0,164
"beach_within_2km",0.104,0.305285986012351,0,1
"exec_sold",5.83016666666668,19.3843566358518,0,135
"flat_model_2.room",0.000166666666666674,0.0129099444873572,0,1
"flat_model_adjoined.flat",0.00183333333333332,0.0427817398948854,0,1
"flat_model_apartment",0.04,0.195975511395793,0,1
"flat_model_dbss",0.0285,0.166410232240179,0,1
"flat_model_improved",0.246833333333333,0.431204856760262,0,1
"flat_model_improved.maisonette",0.000166666666666674,0.0129099444873571,0,1
"flat_model_maisonette",0.0305,0.171972902264245,0,1
"flat_model_model.a",0.3365,0.472551550092253,0,1
"flat_model_model.a.maisonette",0.00200000000000005,0.0446803393241415,0,1
"flat_model_model.a2",0.00799999999999999,0.0890916544191878,0,1
"flat_model_multi.generation",0.000666666666666664,0.0258134321191207,0,1
"flat_model_new.generation",0.109,0.311665187658498,0,1
"flat_model_premium.apartment",0.127333333333334,0.333373782065486,0,1
"flat_model_premium.apartment.loft",0.00183333333333332,0.0427817398948842,0,1
"flat_model_premium.maisonette",0.000166666666666678,0.012909944487358,0,1
"flat_model_simplified",0.0339999999999998,0.181244241046406,0,1
"flat_model_standard",0.0273333333333334,0.163066409778004,0,1
"flat_model_terrace",0.000833333333333324,0.0288578877461564,0,1
"flat_model_type.s1",0.00250000000000005,0.0499416228639255,0,1
"flat_model_type.s2",0.00183333333333331,0.0427817398948858,0,1
"flat_type_1.ROOM",0.000500000000000018,0.0223569520630814,0,1
"flat_type_2.ROOM",0.0138333333333333,0.116808588140024,0,1
"flat_type_3.ROOM",0.210166666666667,0.407460807449213,0,1
"flat_type_4.ROOM",0.423666666666667,0.494180052757069,0,1
"flat_type_5.ROOM",0.272666666666667,0.445367953859086,0,1
"flat_type_EXECUTIVE",0.0785000000000002,0.268979196781791,0,1
"flat_type_MULTI.GENERATION",0.000666666666666664,0.0258134321191207,0,1
"floor_area_sqm",98.57815,23.8677816189679,31,243
"mature",0.453333333333333,0.497858948710396,0,1
"max_floor_lvl",16.4873333333333,7.26188419414897,2,50
"month_Apr",0.2175,0.412579835126972,0,1
"month_Aug",0,0,0,0
"month_Dec",0,0,0,0
"month_Feb",0.197166666666667,0.397892395774674,0,1
"month_Jan",0.234833333333333,0.423929937199738,0,1
"month_Jul",0,0,0,0
"month_Jun",0,0,0,0
"month_Mar",0.226666666666667,0.41871005310795,0,1
"month_May",0.123833333333333,0.32941876845395,0,1
"month_Nov",0,0,0,0
"month_Oct",0,0,0,0
"month_Sep",0,0,0,0
"multigen_sold",0.0333333333333332,1.29067160595598,0,50
"nearest_ghawker_no_of_cooked_food_stalls",55.8406666666666,19.0553438850453,0,226
"nearest_ghawker_no_of_mkt_produce_stalls",97.4926666666666,38.4628501894536,0,477
"nearest_ghawker_no_of_stalls",153.333333333333,47.9748213768091,21,703
"no_GAI_primary_schools_1km",0.528999999999999,0.777126965851487,0,4
